Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
02359-003,1,25-Mar-03,"Letter to Iain Pritchett, ACOA",,,,,
re: Clarification of issues regarding Claim 1,PTM,,,/cslt/docs/2002/02359/,,,,
,,,,,,,,
02362-001,1,07-Jan-03,ESA Multi-Mission Catalogue to Open GIS Web Map Server Bridge - Technical Proposal,WE/BOR/PTM,,,/cslt/docs/2002/02362/proposal/tech/0doc.bk,
02362-002,1,07-Jan-03,"ESA Multi-Mission Catalogue to Open GIS Web Map Server Bridge - Financial, Management and Administrative Proposal",WE/BOR/PTM,,,/cslt/docs/2002/02362/proposal/mgmt/0doc.bk,
02362-003,1,07-Jan-03,ESA Multi-Mission Catalogue to Open GIS Web Map Server Bridge - Cover Letter,WE,,,/cslt/docs/2002/02362/proposal/cover_letter,
,,,,,,,,
02366-001,1,19-Nov-02,National Air Photo Library (NAPL) On-Line - Proposal,WE/BOR,,,/cslt/docs/2002/02366/proposal/body.bk,
,,,,,,,,
,,,,,,,,
02349-001,1,26-Nov-02,Goose Bay Flight Track Data System Software Development - Offer of Services Appendices,WE/BOR,,,/cslt/docs/2002/02349/proposal/,
,,,,,,,,
02384-001,1,05-Dec-02,Space Science Data Portal - Proposal,WE/BOR,,,/cslt/docs/2002/02384/proposal/doc.bk,
,,,,,,,,
02395-001,1,17-Dec-02,Runway Roughness Database - Proposal,WE/PTM,,,/cslt/docs/2002/02395/proposal/doc.bk,
,,,,,,,,
02400-001,1,20-Jan-03,GeoInnovations 2002 Target Area 1: ??? - Proposal (NB but this new template should be good for any new GeoInnovations proposals.),BOR,,,/cslt/docs/2002/02400/proposal/body.bk,
,,,,,,,,
02405-001,1,29-Jan-03,Accessible Mapping R&D Project - Proposal,,,,/cslt/docs/2002/02405/proposal/rev1/body.bk,
02405-002,1,05-Feb-03,Accessible Mapping R&D Project - Proposal,,,,/cslt/docs/2002/02405/proposal/rev2/body.bk,
02405-003,1,31-Mar-03,Accessible Mapping R&D Project - Final Report,,,,/cslt/docs/2002/02405/final_report/body.bk,
02405-003,2,16-Apr-03,Accessible Mapping R&D Project - Final Report,,,,/cslt/docs/2002/02405/final_report/body.bk,
,,,,,,,,
02406-001,1,15-Jan-03,"Information Technology for Command, Control, Communications, Computers, & Intelligence (C4I) - White Paper",BOR,,,/cslt/docs/2002/02406/white_paper/white_paper.doc,
02406-002,1,15-Jan-03,"Information Technology for Command, Control, Communications, Computers, & Intelligence (C4I) - Cover Letter",BOR,,,/cslt/docs/2002/02406/white_paper/cover_letter.doc,
,,,,,,,,
02451-001,1,20-Jan-03,Vendor Metadata Product - Proposal,BOR/WE,,,/cslt/docs/2002/02451/proposal/body.bk,
,,,,,,,,
02453-001,1,22-Jan-03,Proposal for Compusult Participation in the Geospatial One Stop - Portal Initiative (GOS-PI),BOR/WE,,,/cslt/docs/2002/02453/rfq_response/doc.bk,
02453-002,1,12-May-03,Geospatial One Stop Portal - Introductory Guide,BOR/WE,,,/cslt/docs/2002/02453/documentation/getting_started/doc.bk,
02453-003,1,?? ??? 03,OGC WFS Cookbook - Compusult Limited User Experience,BOR/WE,,,/cslt/docs/2002/02453/ogc_wfs_cookbook/doc.bk,
,,,,,,,,
02462-001,1,30-Jun-03,SpeakFAST Speech Output Interface for FAST Technology’s Electronic Torque Meter - User’s Manual,RR/BG/WE,,,/cslt/docs/2002/02462/manual/cover.bk,
02462-002,1,19-Jul-16,Talking Torque Wrench - User‘s Manual ,LBJ,,,/cslt/docs/2002/02462/,
,,,,,,,,
02472-001,0.1,03-Feb-03,Compusult Support and Services to NIMA for JWID 03 - Proposal (Project No. changed from 01328 and proposal updated from 01328-005),BOR/WE,,,/cslt/docs/2002/02472/proposal/body.bk,
02472-002,0.1,06-Feb-03,Compusult Support and Services to NIMA for JWID 03 - Draft Implementation Plan,BOR/WE,,,/cslt/docs/2002/02472/imp_plan/doc.bk,
02472-003,0.1,14-Mar-03,CPIGS for JWID 03 - Draft System Requirements Specification,BOR/WE,,,/cslt/docs/2002/02472/srs/doc.bk,
02472-003,1,13-Jul-03,CPIGS for JWID 03 - System Requirements Specification,BOR/WE,,,/cslt/docs/2002/02472/srs_with_HF_reqs/doc.bk,
02472-004,0.1,?? Apr 03,CPIGS for JWID 03 - Draft User Scenarios,BOR/WE,,,/cslt/docs/2002/02472/scenarios/doc.bk,
02472-005,0.1,07-Aug-03,CPIGS for JWID 03 - Draft Architecture Document,BOR/WE,,,/cslt/docs/2002/02472/sdd/doc.bk,
02472-005,0.2,27-Aug-03,CPIGS for JWID 03 - Draft Architecture Document,BOR/WE,,,/cslt/docs/2002/02472/sdd/doc.bk,
02472-005,1,16-Sep-03,CPIGS for JWID 03 - Architecture Document,BOR/WE,,,/cslt/docs/2002/02472/sdd/doc.bk,
02472-006,1,15-Jul-03,CPIGS for JWID 03 - Acceptance Test Plan,BOR/WE,,,/cslt/docs/2002/02472/atp/doc.bk,
02472-007,1,?? ??? 03,NGIS Gateway - User’s Manual,BOR/WE,,,/cslt/docs/2002/02472/manuals/um_ngis_gateway/doc.bk,
02472-008,1,?? ??? 03,CPIGS for JWID 03 - System Administration Manual,BOR/WE,,,/cslt/docs/2002/02472/manuals/sys_adm_manual/doc.bk,
02472-009,1,?? ??? 03,CPIGS for JWID 03 - Training Manual,BOR/WE,,,/cslt/docs/2002/02472/manuals_training_manual/doc.bk,
,,,,,,,,
02494-001,1,07-Mar-03,DIM Software Solution - Technical Proposal,BOR/WE/RT,,,/cslt/docs/2002/02494/proposal/tech/body.bk,
02494-002,1,07-Mar-03,DIM Software Solution - Price Proposal,BOR/WE/RT,,,/cslt/docs/2002/02494/proposal/price/body.bk,
,,,,,,,,
03023-001,1,03-Mar-03,National Air Photo Library (NAPL) On-Line Web-Based Application - SECTION I - TECHNICAL PROPOSAL,WE/BOR,,,/cslt/docs/2003/03023/proposal/tech/body.bk,
03023-002,1,03-Mar-03,National Air Photo Library (NAPL) On-Line Web-Based Application - SECTION II - FINANCIAL PROPOSAL,WE/BOR,,,/cslt/docs/2003/03023/proposal/cost/body.bk,
03023-003,1,03-Mar-03,National Air Photo Library (NAPL) On-Line Web-Based Application - SECTION III - CERTIFICATIONS,WE/BOR,,,/cslt/docs/2003/03023/proposal/cert/body.bk,
03023-004,0.1,12-Mar-03,National Air Photo Library (NAPL) On-Line Web-Based Application - Draft Project Plan,WE/BOR,,,/cslt/docs/2003/03023/pplan/draft_project_plan_030312.pdf,
03023-004,1,12-Mar-03,National Air Photo Library (NAPL) On-Line Web-Based Application - Project Plan,WE/BOR,,,/cslt/docs/2003/03023/pplan/doc.bk,
03023-005,1,13-Mar-03,National Air Photo Library (NAPL) On-Line Web-Based Application - QA Plan,WE/BOR,,,/cslt/docs/2003/03023/qa_plan/doc.bk,
03023-006,0.1,?? Mar 03,National Air Photo Library (NAPL) On-Line Web-Based Application - Draft System Requirements Specification,WE/BOR,,,/cslt/docs/2003/03023/srs/doc.bk,
03023-007,0.1,?? Mar 03,National Air Photo Library (NAPL) On-Line Web-Based Application - Draft System Architecture and Design Plan,WE/BOR,,,/cslt/docs/2003/03023/sadp/doc.bk,
03023-008,0.1,?? Mar 03,National Air Photo Library (NAPL) On-Line Web-Based Application - Draft Acceptance Test Plan,WE/BOR,,,/cslt/docs/2003/03023/atp/0atp.bk,
03023-009,1,09-Dec-05,Letter to Barbara MacIntosh (NRCan) regarding exclusivity of Compusult WES products,PTM,,,/cslt/docs/03023/letters/03023-009.fm,
03023-010,1,24-Sep-12,NAPL WCAG Compliance - Proposal (Q004),WE/CIC/LB,,,/cslt/docs/03023/0quotes/20120924_Q004_NAPL_WCAG_Compliance/body.book,
,,,,,,,,
03031-001,1,07-May-03,GSA Multiple Award Schedule - Application Cover Letter,WE/BOR,,,/cslt/docs/2003/03031/cover_letter.doc,
03031-002,1,03-Sep-03,GSA Multiple Award Schedule - Clarification 1 Cover Letter,WE/BOR,,,/cslt/docs/2003/03031/clarifications_1/cover_letter_2.doc,
03031-003,1,07-Nov-03,GSA Multiple Award Schedule - Clarification 2 Cover Letter,WE/BOR,,,/cslt/docs/2003/03031/clarifications_2/cover_letter_3.doc,
03031-004,1,05-Mar-04,GSA Multiple Award Schedule - Clarification 3 Cover Letter,WE/BOR,,,/cslt/docs/2003/03031/clarifications_3/cover_letter_4.doc,
03031-005,1,17-Mar-04,GSA Multiple Award Schedule - Final Proposal Revision Letter,WE/BOR,,,/cslt/docs/2003/03031/final_proposal_revision_letter/final_proposal_revision_letter_frame5.doc,
03031-006,2,16-Jun-04,Compusult Limited - Training Course Descriptions,WE,,,/cslt/docs/2003/03031/!0Current_training_descriptions/training_description_040616.pdf,
03031-006,3,01-Apr-05,Compusult Limited - Training Course Descriptions,WE,,,/cslt/docs/2003/03031/!0Current_training_descriptions/training_description_050401.pdf,
03031-006,4,16-Mar-06,Compusult Limited - Training Course Descriptions,WE,,,/cslt/docs/2003/03031/!0Current_training_descriptions/training_description.bk,
03031-007,1,17-Aug-06,GSA Audit Response,WE,,,/cslt/docs/2003/03031/audit_docs_2006/gsa_audit_response.book,
03031-008,1,?? Jan 07,Rate Increase Request - Cover Letter,WE,,,/cslt/docs/2003/03031/rate_increase_request/cover_letter.fm,
03031-009,1,18-Jun-08,GSA Audit Response,WE,,,/cslt/docs/2003/03031/audit_docs_2008/gsa_audit_response.book,
03031-010,1,16-Jan-09,Letter to Jacqulin Draughn re: GSA Contract Extension,PTM,,,/cslt/docs/2003/03031/2009_contract_extension_docs/Compusult_cover_letter.fm,
03031-011,1,16-Feb-09,Letter to Jacqulin Draughn re: GSA Contract Product Deletion Request,PTM,,,/cslt/docs/2003/03031/contract_deletion_requests/Compusult_Deletion_Request_2009-02-16.fm,
03031-012,1,31-Aug-10,Letter to GSA re: Request for Economic Price Adjustment Request to SIN 132-51,PTM,,,/cslt/docs/2003/03031/rate_increase_requests/Compusult_EPA_Request_2010-08-31.fm,
03031-013,1,11-May-11,Letter to GSA re: Request for Contract Admnistrative Change - Addition of Authorized Negotiators,PTM,,,/cslt/docs/2003/03031/contract_modification_requests/2011-05-11_GS-35F-0373P_Contract_Administrative_Change_Request.fm,
03031-014,1,26-Aug-11,GSA Audit Response,WE,,,/cslt/docs/2003/03031/audit_docs_2011/gsa_audit_response.book,
03031-015,1,29-Jul-09,Letter to Cornelius Cooper re: GSA Contract Product Deletion Request,PTM,,,/cslt/docs/2003/03031/contract_deletion_requests/Compusult_Deletion_Request_2013-07-09.fm,
03031-016,1,26-Aug-13,GSA Audit Response,WE,,,/cslt/docs/2003/03031/audit_docs_2013/gsa_audit_response.book,
03031-017,1,03-Sep-13,"Letter to Cornelius Cooper of NGA Re: Option to Extend Compusult Limited’s Federal Supply Schedule (FSS) Contract GS-35F-0373P, which is Due to Expire on March 18, 2014",WE/PTM,,,/cslt/docs/2003/03031_GSA/contract_extension_2014/letters/letter_re_option_to_extend.fm,
03031-018,1,14-Feb-14,Letter to Cornelius Cooper of NGA Re: Option to Extend Compusult Limited’s Federal Supply Schedule (FSS) Contract GS-35F-0373P - Price Comparison,WE/PTM,,,/cslt/docs/2003/03031_GSA/2014_contract_extension_docs/letters/2014_letter_re_price_comparison.fm,
03031-019,1,20-Feb-14,Letter to Cornelius Cooper of NGA Re: Price Proposal for GSA Contract Number GS-35F-0373P,WE/PTM,,,/cslt/docs/2003/03031_GSA/2014_contract_extension_docs/letters/20140220_Price_Proposal_Cover_Letter.fm,
03031-020,1,28-Feb-14,Letter to GSA re; Confirmation of Authroized Negotiators for GSA Contract Number GS-35F-0373P,PTM,,,,
03031-021,1,24-Mar-14,Letter to GSA re: Request for Economic Price Adjustment Request to SIN 132-51,PTM,,,/cslt/docs/2003/03031/rate_increase_requests/Compusult_EPA_Request_2014-03-24.fm,
03031-022,1,24-Jul-14,Letter to Cornelius Cooper re: GSA Contract Product Deletion Request,PTM,,,/cslt/docs/2003/03031/contract_deletion_requests/Compusult_Deletion_Request_2014-07-24.fm,
,,,,,,,,
03059-001,1,?? Mar 03,Critical Response Information System - Project Plan,WE/BOR,,,/cslt/docs/2003/03059/pplan/0doc.bk,
,,,,,,,,
03083-001,1,21-Mar-03,xwave Request for Resources - Customer Support Analysts,WE/PTM,,,/cslt/docs/2003/03083/cover_letter.doc,
,,,,,,,,
03104-001,1,04-Apr-03,Crisis Information Management System (CIMS) Software - Expression of Interest,WE/BOR,,,/cslt/docs/2003/03104/rfi_response/body.bk,
,,,,,,,,
03144-001,1,25-Apr-03,Business Analysis of Government of Newfoundland & Labrador Web Site - Proposal,WE/PTM,,,/cslt/docs/2003/03144/proposal/body.bk,
,,,,,,,,
03168-001,1,20-May-03,Perform Research and Development Efforts to Support DND J2 GI Initiatives - Proposal (NDOL),WE/BOR,,,/cslt/docs/2003/03168/proposal/cslt_proposal_20_05_03.pdf,
03168-002,2,12-Jun-03,Perform Research and Development Efforts to Support DND J2 GI Initiatives - Proposal (NDOL),WE/BOR,,,/cslt/docs/2003/03168/proposal/body.bk,
03168-003,3,08-Sep-03,Perform Research and Development Efforts to Support DND J2 GI Initiatives - Proposal (NDOL),WE/BOR,,,/cslt/docs/2003/03168/proposal/body.bk,
,,,,,,,,
03176-001,1,30-May-03,OGC Web Services Initiative Phase 2 (OWS2) - Response to Request for Technology (RFT),WE/BOR,,,/cslt/docs/2003/03176/rft_response/rft_response.doc,
,,,,,,,,
03191-001,1,11-Jun-03,Horizontal Fusion Implementation and Integration Services - Proposal,WE/BOR,,,/cslt/docs/2003/03191/proposal/body.bk,
,,,,,,,,
03220-001,0.1,26-Aug-03,Compusult Limited - DRAFT Business Plan (for In-Q-Tel),WE/BOR,,,/cslt/docs/2003/03220/bus_plan/body.bk,
,,,,,,,,
03226-001,1,08-Dec-03,Enabling Applications for Communites of Practice Using the Canadian Geospatial Data Infrastructure - Letter of Intent,WE/BOR,,,/cslt/docs/2003/03226/loi/letter_of_intent.doc,
03226-002,1,15-Jan-04,Enabling Applications for Communites of Practice Using the Canadian Geospatial Data Infrastructure - second Letter of Intent,WE/BOR,,,/cslt/docs/2003/03226/loi/letter_of_intent_2.doc,
,,,,,,,,
03267-001,1,19-Sep-03,"JWID 04, Horizontal Fusion and GeoScout Services - Proposal",WE/BOR,,,/cslt/docs/2003/03267/proposal/body.bk,
03267-002,1,04-Feb-04,GeoScout Services - Proposal,WE/BOR,,,/cslt/docs/2003/03267/proposal_2/body.bk,
,,,,,,,,
03280-001,0.1,20-Nov-03,International Geospatial Warehouse (IGW) - Phase 1 - DRAFT Proposal,WE/BOR,,,/cslt/docs/2003/03280/proposal/body.bk,
03280-001,1,07-Jan-04,International Geospatial Warehouse (IGW) - Phase 1 -Proposal,WE/BOR,,,/cslt/docs/2003/03280/proposal/body.bk,
,,,,,,,,
03310-001,1,16-Dec-03,Proposal for Compusult Participation in the Emergency Mapping Symbology (EMS-1) Initiative,WE/BOR,,,/cslt/docs/2003/03310/rfq_response/doc.bk,
03310-002,1,16-Dec-03,GeoConnections OGC CIPI-3 - Proposal,WE/BOR,,,/cslt/docs/2003/03310/geoconnections_rfq_response/doc.bk,
03310-003 ,0.1,12-Jan-04,EMS-1 - Draft Use Cases,LB,,,/cslt/docs/2003/03310/deliverables/use_cases/sms_pub_use_cases.txt (Posted to OGC Portal),
03310-003 ,1,?? ??? 04,EMS-1 - Use Cases,WE/LB,,,/cslt/docs/2003/03310/deliverables/01_use_cases/doc.bk,
03310-004,1,?? ??? 04,EMS-1 - Configuration Management Plan,WE/LB,,,/cslt/docs/2003/03310/deliverables/02_cm_plan/doc.bk,
03310-005,0.1,06-Feb-04,EMS-1 - DRAFT Architectural Overview,WE/LB,,,/cslt/docs/2003/03310/deliverables/03_arch_overview/doc.bk,
03310-006,0.1,06-Feb-04,EMS-1 - DRAFT System Configuration,WE/LB,,,/cslt/docs/2003/03310/deliverables/04_sys_config/doc.bk,
03310-007,0.1,06-Feb-04,EMS-1 - DRAFT Installation Guide,WE/LB,,,/cslt/docs/2003/03310/deliverables/05_install_guide/doc.bk,
03310-008,0.1,06-Feb-04,EMS-1 - DRAFT Training Material and User Guide,WE/LB,,,/cslt/docs/2003/03310/deliverables/06_trg_user_guide/doc.bk,
,,,,,,,,
03312-001,1,05-Dec-03,Provision of Services to Implement a Web-Based Document Management and Review System - Proposal,WE/BOR,,,/cslt/docs/2003/03312/proposal/body.bk,
,,,,,,,,
03314-001,1,13-Jan-04,Horizontal Fusion and JWID ‘04 Services - Proposal,WE/BOR,,,/cslt/docs/2003/03314/proposal/body.bk,
,,,,,,,,
03315-001,1,05-Jan-03,First Responder Network Node Device (FRNND) - Proposal Synopsis,WE/BOR,,,/cslt/docs/2003/03315/frnnd_proposal_synopsis/cslt_crti_synopsis_form.doc (Word doc),
03315-002,1,11-Mar-04,First Responder Network Node Device (FRNND) - Proposal,WE/BOR,,,/cslt/docs/2003/03315/frnnd_proposal/ CRTI-03-0017TD_Orourke.doc (Word doc),
03315-003,1,11-Mar-04,First Responder Network Node Device (FRNND) - Project Plan,WE/BOR,,,/cslt/docs/2003/03315/frnnd_project_plan/ ???.bk,
,,,,,,,,
03369-001,1,22-Jan-04,Provision of an Integrated Accounting Software Solution - Request for Proposal,RT,,,/cslt/docs/2003/03369/rfp/body.bk,
,,,,,,,,
,,,,,,,,
The Horizontal Fusion (HF) proposal was issued as Doc. No. 03314-001. The International Geospatial Warehouse (IGW) proposal was issued as Doc. No. 03280-001.,,,,,,,,
HF is now Project No. 03353 and IGW is now Project No. 04044.,,,,,,,,
03353-001,0.1,?? Apr 04,Horizontal Fusion (HF) Services - Project Management Plan,WE/BOR,,,/cslt/docs/2003/03353/hf/pm_plan/doc.bk,
03353-002,1,?? Apr04,Horizontal Fusion (HF) Services - Quality Assurance Plan,WE/BOR,,,/cslt/docs/2003/03353/hf/qa_plan/doc.bk,
03353-003,1,?? Feb 04,Netcentric Geospatial-Intelligence Services (NGS) - Architecture Document,WE/BOR,,,/cslt/docs/2003/03353/hf/architecture/doc_split.bk,
03353-004,1,04-Mar-04,Netcentric Geospatial-Intelligence Services (NGS) - Cover Leter for SAIC Proposal,WE/BOR,,,/cslt/docs/2003/03353/hf/SAIC_Proposal/cover_letter.doc,
03353-005,1,04-Mar-04,Netcentric Geospatial-Intelligence Services (NGS) - SAIC Proposal,WE/BOR,,,/cslt/docs/2003/03353/hf/SAIC_Proposal/doc.bk,
03353-006,1,19-Mar-04,Horizontal Fusion - Proposal,WE/BOR,,,/cslt/docs/2003/03353/hf/proposal_final/doc.bk,
03353-007,1,?? Mar 04,NGS Deployment to the Iraq Theater - Proposal,WE/BOR,,,/cslt/docs/2003/03353/hf/proposal_iraq_theater/doc.bk,
03353-008,1,30-Apr-04,Horizontal Fusion Monthly Report - April 2004,WE/BOR,,,/cslt/docs/2003/03353/hf_monthly_reports/april_2004/doc.bk,
03353-009,1,19-May-04,Horizontal Fusion Portlet - Functional Test Cases,PP/RC/DOM/WE,,,/cslt/docs/2003/03353/hf/atp/0atp.bk,
03353-009,2,24-May-04,Horizontal Fusion Portlet - Functional Test Cases,PP/RC/DOM/WE,,,/cslt/docs/2003/03353/hf/atp/0atp.bk,
03353-010,1,30-Apr-04,,,,,,
31-May-04,,,,,,,,
31-Jul-04,,,,,,,,
30-Sep-04,Horizontal Fusion Monthly Report ,WE/BOR,,,/cslt/docs/2003/03353/hf_monthly_reports/month_2004/body.bk,,,
03353-011,1,24-Aug-04,Horizontal Fusion 04 Follow-on Activities for Contract: HM1582-04-F-0013,WE/BOR,,,/cslt/docs/2003/03353/hf/proposal_follow-on/body.bk,
03353-012,1,17-Nov-04,Horizontal Fusion Transition to Operations - Statement of Work,WE/BOR,,,/cslt/docs/2003/03353/transition_to_operations/sow/body.bk,
03353-013,1,07-Jan-05,NGS Portlet Initiative for Horizontal Fusion - Proposal,WE/BOR,,,/cslt/docs/2003/03353/transition_to_operations/proposal/cslt_proposal_050107.pdf,
03353-013,2,10-Jan-05,NGS Portlet Initiative for Horizontal Fusion - Proposal,,,,,
!!!THIS PROJECT NUMBER NOW CHANGED TO 04240!!!,WE/BOR,,,/cslt/docs/2003/03353/transition_to_operations/proposal/cslt_proposal_050110.pdf,,,,
,,,,,,,,
03372-001,1,,???,,,,,
03372-002,1,01-Mar-04,Letter to Ray Alcock re: ACOA Business Development Program Project No. 620-xxx-xxxxx,PTM/BOR,,,/cslt/docs/2003/03372/letters/Alcock_Ray_ltr.doc,
03372-003,1,27-Feb-04,First Responder Network Node Devices (FRNND) - Research and Development Plan,WE/PTM,,,/cslt/docs/2003/03372/frnnd_docs/r_and_d_plan/doc.bk,
03372-004,1,07-Apr-04,Letter to Ray Alcock for first claim and request for advance.,PTM,,,/cslt/docs/2003/03372/letters/Alcock_Ray_ltr.doc,
,,,,,,,,
03999-001,1,11-Dec-03,"Letter to Minister of Industry, Trade and Rural Development re: Provincial Use of ESRI’s Geography Network",WE/BOR,,,/cslt/docs/admin/cslt_letter_to_minister.doc,
,,,,,,,,
04026-001,1,10-Mar-04,Proposal to Ontario Ministry of Natural Resources for the Provision of an OGC WMS Client Application,WE/RT/BOR,,,/cslt/docs/2004/04026/proposal/compusult_proposal_for_OGC_WMS_Client_Software.doc (Word),
,,,,,,,,
04028-001,1,30-Mar-04,GIS Mapping and Modeling Tools - Response to RFI,WE/BOR,,,/cslt/docs/2004/04028/rfi_response/body.bk,
04028-002,1,31-Mar-04,GIS Mapping and Modeling Tools - Hard Copy Cover Letter,WE,,,/cslt/docs/2004/04028/rfi_response/cover_letter.doc,
,,,,,,,,
04037-001,1,07-Mar-05,NASA Earth-Sun Gateway - Proposal,WE/BOR,,,/cslt/docs/2004/04037/earth-sun_gateway/proposal/body.bk,
04037-002,1,?? May 05,NASA Earth-Sun Gateway - Project Plan,WE/BOR,,,/cslt/docs/2004/04037/earth-sun_gateway/pplan/doc.book,
04037-003,1,11-Apr-06,NASA Earth-Sun Gateway - Phase II - Proposal,WE/BOR,,,/cslt/docs/2004/04037/earth-sun_gateway_phase_2/proposal/body.book,
04037-004,1,01-May-06,NASA Earth-Sun Gateway - Phase II - Project Plan,WE/BOR,,,/cslt/docs/2004/04037/earth-sun_gateway_phase_2/pplan/doc.book,
04037-005,1,18-Oct-06,NASA Earth-Sun Gateway - Phase II - System Requirements Specification,WE/BOR/DY,,,/cslt/docs/2004/04037/earth-sun_gateway_phase_2/srs/doc.book,
04037-006,1,30-Jun-06,NASA Earth-Sun Gateway - Phase II - Monthly Report for June 2006,WE/DY,,,/cslt/docs/2004/04037/earth-sun_gateway_phase_2/monthly reports/june_2006/body.book,
04037-007,1,31-Jul-06,NASA Earth-Sun Gateway - Phase II - Monthly Report for July 2006,WE/DY,,,/cslt/docs/2004/04037/earth-sun_gateway_phase_2/monthly reports/july_2006/body.book,
